GAME_ID_HOME,EXPERT_RANK_HOME,EXPERT_RANK_AWAY
21700222,30,17
21700171,30,26
21700133,30,15
21700079,30,4
21700065,30,29
21700031,30,5
21701205,28,30
21701148,28,21
21701094,28,2
21701067,28,17
21701053,28,16
21701037,28,19
21701008,28,10
21700999,28,20
21700899,28,30
21700856,28,26
21700843,28,11
21700826,28,15
21700800,28,3
21700785,28,13
21700768,28,22
21700756,28,20
21700668,28,18
21700655,28,5
21700642,28,27
21700606,28,21
21700592,28,10
21700579,28,6
21700557,28,9
21700545,28,24
21700473,28,7
21700457,28,23
21700439,28,26
21700414,28,27
21700400,28,7
21700376,28,18
21700365,28,4
21700328,28,29
21700267,28,14
21700236,28,1
21700219,28,12
21700201,28,6
21700102,28,25
21700087,28,8
21700058,28,2
21700038,28,29
21700022,28,24
21701163,4,1
21701133,4,8
21701100,4,14
21701084,4,18
21701032,4,11
21701003,4,23
21700990,4,5
21700975,4,25
21700960,4,3
21700903,4,24
21700850,4,2
21700839,4,16
21700788,4,22
21700772,4,15
21700736,4,20
21700711,4,7
21700697,4,28
21700660,4,22
21700643,4,23
21700600,4,14
21700541,4,19
21700526,4,13
21700512,4,10
21700496,4,3
21700477,4,29
21700460,4,12
21700447,4,8
21700394,4,17
21700351,4,12
21700337,4,5
21700324,4,9
21700273,4,21
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700263,4,1
21700212,4,30
21700191,4,19
21700172,4,11
21700129,4,6
21700060,4,26
21700039,4,9
21700015,4,27
21701206,18,4
21701158,18,29
21701141,18,28
21701125,18,30
21701110,18,2
21701068,18,27
21701054,18,8
21700988,18,7
21700973,18,20
21700952,18,25
21700938,18,21
21700922,18,22
21700909,18,20
21700885,18,16
21700821,18,13
21700806,18,3
21700792,18,24
21700727,18,17
21700710,18,23
21700634,18,13
21700586,18,12
21700568,18,27
21700558,18,21
21700523,18,28
21700500,18,24
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700486,18,15
21700474,18,19
21700432,18,11
21700408,18,14
21700335,18,1
21700321,18,17
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700257,18,6
21700235,18,26
21700205,18,7
21700110,18,30
21700093,18,9
21700078,18,6
21700059,18,5
21700042,18,29
21700029,18,26
21701154,14,16
21701137,14,11
21701086,14,6
21701064,14,3
21701045,14,21
21701028,14,2
21701004,14,18
21700984,14,1
21700962,14,27
21700941,14,4
21700925,14,9
21700911,14,23
21700864,14,1
21700840,14,12
21700814,14,17
21700759,14,30
21700759,14,30
21700759,14,30
21700759,14,30
21700708,14,9
21700708,14,9
21700708,14,9
21700708,14,9
21700682,14,19
21700666,14,26
21700652,14,25
21700589,14,5
21700576,14,29
21700520,14,20
21700478,14,8
21700463,14,5
21700384,14,3
21700352,14,7
21700333,14,15
21700316,14,13
21700234,14,23
21700213,14,24
21700198,14,8
21700176,14,28
21700157,14,16
21700144,14,4
21700118,14,22
21700099,14,10
21700083,14,25
21700068,14,11
21700053,14,15
21701211,8,14
21701180,8,9
21701165,8,26
21701152,8,13
21701026,8,21
21700996,8,23
21700983,8,22
21700970,8,2
21700912,8,11
21700896,8,3
21700880,8,5
21700852,8,5
21700794,8,17
21700782,8,1
21700765,8,4
21700743,8,6
21700730,8,19
21700712,8,27
21700694,8,14
21700671,8,25
21700651,8,19
21700625,8,16
21700612,8,29
21700574,8,12
21700563,8,25
21700536,8,20
21700503,8,12
21700462,8,9
21700427,8,15
21700332,8,22
21700315,8,30
21700274,8,16
21700226,8,15
